"","X.x","site_no.x","dateTime","Flow_Inst.x","Site.x","Cat.x","X.y","site_no.y","Flow_Inst.y","Site.y","Cat.y","X.x.x","site_no.x.x","Flow_Inst.x.x","Site.x.x","Cat.x.x","X.y.y","site_no.y.y","Flow_Inst.y.y","Site.y.y","Cat.y.y"
"2817",2817,13185000,"2019-02-17 23:45:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7493,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12169,13211205,694,"BOISE RIVER AT CALDWELL, ID ","Managed",16825,13213000,1020,"BOISE RIVER NR PARMA ID ","Managed"
"2818",2818,13185000,"2019-02-18 00:00:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7494,13206000,284,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12170,13211205,689,"BOISE RIVER AT CALDWELL, ID ","Managed",16826,13213000,1020,"BOISE RIVER NR PARMA ID ","Managed"
"2819",2819,13185000,"2019-02-18 00:15:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7495,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12171,13211205,689,"BOISE RIVER AT CALDWELL, ID ","Managed",16827,13213000,1020,"BOISE RIVER NR PARMA ID ","Managed"
"2820",2820,13185000,"2019-02-18 00:30:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7496,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12172,13211205,689,"BOISE RIVER AT CALDWELL, ID ","Managed",16828,13213000,1020,"BOISE RIVER NR PARMA ID ","Managed"
"2821",2821,13185000,"2019-02-18 00:45:00",422,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7497,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12173,13211205,689,"BOISE RIVER AT CALDWELL, ID ","Managed",16829,13213000,1020,"BOISE RIVER NR PARMA ID ","Managed"
"2822",2822,13185000,"2019-02-18 01:00:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7498,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12174,13211205,689,"BOISE RIVER AT CALDWELL, ID ","Managed",16830,13213000,1020,"BOISE RIVER NR PARMA ID ","Managed"
"2823",2823,13185000,"2019-02-18 01:15:00",422,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7499,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12175,13211205,689,"BOISE RIVER AT CALDWELL, ID ","Managed",16831,13213000,1020,"BOISE RIVER NR PARMA ID ","Managed"
"2824",2824,13185000,"2019-02-18 01:30:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7500,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12176,13211205,689,"BOISE RIVER AT CALDWELL, ID ","Managed",16832,13213000,1020,"BOISE RIVER NR PARMA ID ","Managed"
"2825",2825,13185000,"2019-02-18 01:45:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7501,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12177,13211205,689,"BOISE RIVER AT CALDWELL, ID ","Managed",16833,13213000,1020,"BOISE RIVER NR PARMA ID ","Managed"
"2826",2826,13185000,"2019-02-18 02:00:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7502,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12178,13211205,689,"BOISE RIVER AT CALDWELL, ID ","Managed",16834,13213000,1020,"BOISE RIVER NR PARMA ID ","Managed"
